prob-0.55: 0.9520624303232998, 0.670995670995671, 0.7451923076923077, 0.7061503416856492
rf:, 0.9409141583054627, 0.5910780669144982, 0.7644230769230769, 0.6666666666666667
prob-0.55: 0.9472315124489038, 0.6356275303643725, 0.7511961722488039, 0.6885964912280702
rf:, 0.9405425492382015, 0.5763239875389408, 0.8851674641148325, 0.6981132075471698
prob-0.55: 0.939799331103679, 0.5942622950819673, 0.6971153846153846, 0.6415929203539822
rf:, 0.927536231884058, 0.5228070175438596, 0.7163461538461539, 0.6044624746450303
prob-0.55: 0.9424005945745076, 0.6160337552742616, 0.6952380952380952, 0.6532438478747203
rf:, 0.933853586027499, 0.5597014925373134, 0.7142857142857143, 0.6276150627615064
prob-0.55: 0.9342251950947603, 0.5555555555555556, 0.7451923076923077, 0.6365503080082136
rf:, 0.9357116313638053, 0.5618374558303887, 0.7644230769230769, 0.6476578411405295
