prob-0.6:, 0.9500959692898272, 0.6838709677419355, 0.7851851851851852, 0.7310344827586207
rf:, 0.9520153550863724, 0.6785714285714286, 0.8444444444444444, 0.7524752475247526
prob-0.6:, 0.9494561740243123, 0.6627906976744186, 0.8444444444444444, 0.742671009771987
rf:, 0.9577735124760077, 0.6844919786096256, 0.9481481481481482, 0.7950310559006211
prob-0.6:, 0.9513755598208573, 0.6666666666666666, 0.8740740740740741, 0.7564102564102564
rf:, 0.9552143314139475, 0.6737967914438503, 0.9333333333333333, 0.782608695652174
prob-0.6:, 0.944977607165707, 0.6666666666666666, 0.725925925925926, 0.6950354609929078
rf:, 0.9577735124760077, 0.7041420118343196, 0.8814814814814815, 0.7828947368421052
prob-0.6:, 0.946257197696737, 0.6861313868613139, 0.6962962962962963, 0.6911764705882353
rf:, 0.9488163787587972, 0.6821192052980133, 0.762962962962963, 0.7202797202797203
